name,image_url,review_count,rating,price,type_list,address,link,source
Caffe Botteli,https://media-cdn.tripadvisor.com/media/photo-f/05/30/e4/9d/4-saisons.jpg,98,3.5,€€ - €€€,"[""Européenne"", ""Italienne"", ""Pizza""]","55 boulevard Saint Martin, 75003 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d3609540-Reviews-Caffe_Botteli-Paris_Ile_de_France.html,TripAdvisor
Wakoya,https://media-cdn.tripadvisor.com/media/photo-i/10/6c/bb/df/mixte.jpg,15,4.5,€€ - €€€,"[""Japonaise""]","25 Rue de Lancry, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d1065985-Reviews-Wakoya-Paris_Ile_de_France.html,TripAdvisor
Le Dodo,https://media-cdn.tripadvisor.com/media/photo-s/09/81/f1/e3/le-dodo.jpg,54,4.0,€,[],"14 rue de la Fidelite, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d1332913-Reviews-Le_Dodo-Paris_Ile_de_France.html,TripAdvisor
Natives - Hauteville,https://media-cdn.tripadvisor.com/media/photo-i/11/c7/71/cb/getlstd-property-photo.jpg,16,4.5,€€ - €€€,"[""Péruvienne"", ""Sud-américaine"", ""Hawaïenne""]","66 Rue d'Hauteville, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d13389127-Reviews-Natives_Hauteville-Paris_Ile_de_France.html,TripAdvisor
Smiling Kitchen,https://media-cdn.tripadvisor.com/media/photo-i/11/4e/be/01/getlstd-property-photo.jpg,25,5.0,€€ - €€€,"[""Thaï"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]","82 Rue du Faubourg Saint-Denis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d13165366-Reviews-Smiling_Kitchen-Paris_Ile_de_France.html,TripAdvisor
O'Breizh,https://media-cdn.tripadvisor.com/media/photo-i/10/c4/72/e6/restaurant-o-breizh-poissons.jpg,78,4.0,€€ - €€€,"[""Française"", ""Saine"", ""Fruits de mer & Poisson"", ""Choix végétaliens""]","14 Boulevard de Strasbourg | Théâtre Antoine, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d3721645-Reviews-O_Breizh-Paris_Ile_de_France.html,TripAdvisor
Le Bonne Nouvelle,https://media-cdn.tripadvisor.com/media/photo-f/0f/7a/2a/22/le-bonne-nouvelle.jpg,64,4.0,€€ - €€€,"[""Italienne"", ""Française"", ""Végétariens bienvenus""]","24 Boulevard de Bonne Nouvelle, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d12320889-Reviews-Le_Bonne_Nouvelle-Paris_Ile_de_France.html,TripAdvisor
OUR Kebab Paradis,https://media-cdn.tripadvisor.com/media/photo-f/0b/72/09/36/menu-kebab-en-bol.jpg,89,3.5,€,"[""Turque""]","12 rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d8605603-Reviews-OUR_Kebab_Paradis-Paris_Ile_de_France.html,TripAdvisor
MAISON Burger,https://media-cdn.tripadvisor.com/media/photo-i/10/00/92/e9/photo0jpg.jpg,36,4.5,€,[],"20 Rue du Faubourg St-Martin | 20 Rue du Faubourg Saint Martin, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d8626306-Reviews-MAISON_Burger-Paris_Ile_de_France.html,TripAdvisor
Restaurant Ella,https://media-cdn.tripadvisor.com/media/photo-f/09/0d/c7/05/restaurant-ella.jpg,52,4.0,€,"[""Turque"", ""Moyen-Orient"", ""Méditerranéenne"", ""Barbecue/Grillades"", ""Grecque""]","14 rue du Faubourg Saint Denis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d8517085-Reviews-Restaurant_Ella-Paris_Ile_de_France.html,TripAdvisor
Egg Factory,https://media-cdn.tripadvisor.com/media/photo-i/12/10/24/0c/logo.jpg,11,5.0,€€ - €€€,"[""Américaine"", ""Restauration rapide"", ""Cuisine de rue (street food)""]","31 Rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d13482552-Reviews-Egg_Factory-Paris_Ile_de_France.html,TripAdvisor
Café de l'Est,https://media-cdn.tripadvisor.com/media/photo-f/03/a9/63/21/cafe-de-l-est.jpg,401,3.5,€€ - €€€,"[""Française"", ""Européenne""]","7 rue du 8 Mai 1945 | 78 boulevard de Strasbourg, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d2182637-Reviews-Le_Cafe_de_l_Est-Paris_Ile_de_France.html,TripAdvisor
BULMA Banh mi & Bento Shop,https://media-cdn.tripadvisor.com/media/photo-s/08/06/7c/a1/bulma-banh-mi-bento-shop.jpg,56,4.5,€,"[""Vietnamienne""]","17 rue des Petites Ecuries, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d5799149-Reviews-BULMA_Banh_mi_Bento_Shop-Paris_Ile_de_France.html,TripAdvisor
Hana Bento,https://media-cdn.tripadvisor.com/media/photo-i/0e/f4/b6/ae/hana-bento.jpg,15,4.5,€€ - €€€,"[""Végétariens bienvenus""]","2 rue de Paradis, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d11933221-Reviews-Hana_Bento-Paris_Ile_de_France.html,TripAdvisor
Allegra,https://media-cdn.tripadvisor.com/media/photo-f/0a/06/1e/1c/allegra.jpg,111,3.5,€€ - €€€,"[""Italienne"", ""Pizza"", ""Méditerranéenne""]","70, Rue du Faubourg Saint Martin, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d7061256-Reviews-Allegra-Paris_Ile_de_France.html,TripAdvisor
Thai street food,https://media-cdn.tripadvisor.com/media/photo-f/07/c9/1c/03/pad-thai-crevettes.jpg,23,4.5,€,"[""Thaï""]","5 rue d Enghien, 75010 Paris, France",https://www.tripadvisor.fr/Restaurant_Review-g187147-d4817498-Reviews-Thai_street_food-Paris_Ile_de_France.html,TripAdvisor
